fips,unemp
01001,82.5
01003,-232.60000000000002
01005,48.0
01007,-43.90000000000009
01009,
01011,43.0
01013,
01015,
01017,-160.0999999999999
01019,
01021,
01023,
01025,
01027,
01029,
01031,58.700000000000045
01033,
01035,
01039,
01041,
01043,-2.7999999999999545
01045,44.90000000000009
01047,-39.299999999999955
01049,
01051,38.0
01053,-235.20000000000005
01055,23.90000000000009
01057,
01059,
01061,87.0
01063,
01065,
01067,57.40000000000009
01069,178.10000000000002
01071,-2.2000000000000455
01075,-176.5999999999999
01077,9.5
01079,4.2999999999999545
01081,44.700000000000045
01083,-6.0
01085,31.09999999999991
01087,30.09999999999991
01089,157.29999999999995
01091,
01093,
01095,-2.7999999999999545
01097,-211.0
01099,-790.0999999999999
01101,20.40000000000009
01103,
01105,-39.299999999999955
01107,-199.9000000000001
01109,
01111,
01113,62.200000000000045
01115,
01117,29.59999999999991
01121,-160.0999999999999
01123,29.90000000000009
01125,
01129,
01131,-126.20000000000005
01133,-2.7999999999999545
04003,5.5
04009,55.700000000000045
04011,59.90000000000009
04012,126.20000000000005
04013,116.0
04015,168.0999999999999
04019,220.5999999999999
04021,116.70000000000005
04027,48.0
05003,18.700000000000045
05017,-31.09999999999991
05021,42.799999999999955
05031,144.0999999999999
05035,-10.700000000000045
05037,2.2000000000000455
05041,50.799999999999955
05043,3.0
05055,55.799999999999955
05067,41.5
05069,56.09999999999991
05073,-446.4000000000001
05077,9.400000000000091
05079,74.29999999999995
05081,
05085,18.59999999999991
05091,-444.29999999999995
05093,76.90000000000009
05095,-22.5
05107,-32.0
05111,40.700000000000045
05117,-34.59999999999991
05119,27.90000000000009
05123,26.700000000000045
05145,
05147,4.7999999999999545
06011,-170.9000000000001
06019,-99.20000000000005
06021,-170.9000000000001
06025,14.700000000000045
06029,210.0
06031,172.5999999999999
06039,-59.09999999999991
06047,-60.700000000000045
06065,138.79999999999995
06071,316.5999999999999
06107,135.4000000000001
06113,-170.9000000000001
12001,-70.10000000000002
12013,148.20000000000005
12023,
12029,66.90000000000009
12033,-235.60000000000002
12035,
12039,249.10000000000002
12041,
12047,-1.2999999999999545
12059,117.0
12063,117.5
12065,125.90000000000009
12067,-29.5
12073,125.59999999999991
12075,
12079,-9.5
12083,
12089,-76.5
12091,
12107,
12109,
12113,
12121,
12131,
12133,
13001,-22.799999999999955
13003,-70.39999999999998
