fips,unemp
01005,
01011,
01031,
01039,
01041,
01045,
01051,
01059,
01061,
01067,
01069,
01077,
01081,
01101,
01109,
01113,
05001,96.10274579273693
05003,
05017,
05019,77.1273652760872
05021,
05029,92.75111062953732
05031,86.98502895858375
05033,
05035,92.28574563809941
05037,91.77215189873417
05041,92.08679693403865
05043,
05045,92.75111062953732
05047,
05055,77.07625629612275
05063,101.74514323345409
05067,91.747195379318
05069,96.66295884315909
05073,
05075,88.14589665653497
05077,91.81768259198242
05079,97.74354523757862
05081,
05085,94.03098255876935
05091,
05093,85.59171288061107
05095,91.85689201053555
05105,92.8920238741183
05107,92.13136433766806
05111,93.68613531246638
05115,77.1273652760872
05117,94.99835832330086
05119,94.05135984397009
05121,79.66457023060798
05123,91.3550637741197
05145,94.20765027322406
05147,95.05165851005984
08001,96.10948792864832
08009,92.05190592051905
08011,92.9662727010666
08017,87.03348576486208
08025,85.04983388704319
08061,90.41141340411413
08063,83.1031053155045
08071,92.05190592051905
08073,92.71628498727735
08075,75.8643840214837
08087,
08089,89.4443607890378
08095,74.14282594452938
08099,95.09397897419561
08101,90.06896551724137
08115,
08121,76.97756788665879
08123,
08125,72.7155727155727
10001,
10005,
12013,
12063,
12065,
13005,
13007,
13013,
13015,
13017,
13019,
13023,
13031,
13033,
13037,
13061,
13069,
13075,
13081,
13087,
13091,
13093,
13095,
13099,
13105,
13107,
13109,
13115,
13117,
13119,
13129,
13131,
13147,
13149,
13151,
13153,
13155,
13157,
13161,
13163,
13165,
13167,
13171,
13175,
13177,
13185,
13193,
13195,
13197,
13199,
13201,
13205,
13207,
13209,
13211,
13219,
13229,
13235,
13243,
13251,
13253,
13255,
13259,
13261,
13267,
13269,
13271,
13273,
13275,
13277,
13279,
13283,
13285,
13287,
13289,
13295,
13297,
13301,
13303,
13307,
13309,
13311,
13313,
13315,
13317,
13319,
13321,
17001,
17003,
17005,
17013,
17023,
17025,
17027,
17033,
17047,
17049,
17051,
17055,
17059,
17061,
17065,
17069,
17071,
17077,
17079,
17081,
17083,
17087,
17101,
17117,
17119,
17121,
17125,
17127,
17131,
17133,
17135,
17145,
17149,
17151,
17153,
17157,
17159,
17163,
17165,
17173,
17181,
17185,
17189,
17191,
17193,
17199,
18027,
18051,
18055,
18083,
18129,
18153,
18163,
18167,
19071,
19145,
19173,
20001,
20003,
20005,
20007,95.22904390800228
20009,89.8273675997269
20011,
20013,
20015,87.65770707624795
20017,
20019,
20021,
20023,
20025,80.87679516250944
20027,
20029,
20031,
20033,82.02923473774719
20035,
20037,
20039,55.242718446601934
20041,
20043,
20045,
20047,85.48401702435933
20049,
20051,
20053,87.11668657905216
20055,77.73052212469459
20057,95.32790398628376
20059,
20061,
20063,57.436099871706304
20065,
20067,70.8171999184838
20069,
20071,
20073,
20075,71.86462461175965
20077,92.46472530771541
20079,91.01112131415161
20081,58.82850854917895
20083,94.5922448269866
20085,
20087,
20089,
20091,
20093,72.76921463772675
20095,96.38055842812823
20097,90.94719195305949
20099,
20101,77.89242991507625
20103,
20105,82.39478363959692
20107,
20109,67.47983474326185
20111,
20113,
20115,83.83297644539613
20117,
20119,79.96338825095691
20121,
20123,
20125,
20127,
20129,86.50707290533187
20131,
20133,
20135,77.65151515151516
20137,62.68429563397697
20139,
20141,
20143,
20145,85.8473178775827
20147,
20149,
20151,86.19019949641682
20153,62.767197823552266
20155,91.64200428615167
20157,
20159,85.43120008088161
20161,
20163,64.1872208195766
20165,91.37897405890384
20167,87.90338546822412
20169,82.96055307035378
20171,
20173,92.2775543870502
20175,71.5067493615469
20177,
20179,
20181,73.5646556215484
20183,
20185,88.24108725625369
20187,73.25969153814088
20189,87.82201405152225
20191,96.6958724796791
20193,62.66802632798738
20195,
20197,
20199,
20201,
20203,
20205,
20207,
20209,
21007,
21033,
21039,
21055,
21059,
21075,
21083,
21101,
21105,
21107,
21139,
21145,
21157,
21225,
21227,
21233,
22001,
22009,
22011,
22015,
22019,
22021,
22025,
22029,
22035,
22039,
22041,
22043,
22053,
22055,
22065,
22067,
22069,
22073,
22077,
22079,
22083,
22097,
22107,
22113,
22123,
24005,
24009,
24011,
24015,
24017,
24019,
24027,
24029,
24033,
24035,
24037,
24039,
24041,
24043,
24045,
24047,
28001,
28009,
28011,91.88839814715068
28015,
28017,
28027,89.03225806451613
28033,91.5670577914245
28043,
28051,
28053,
28055,
28081,
28083,
28093,
28095,
28107,91.6776460254721
28115,
28117,
28119,92.93019119608714
28125,
28133,89.54751608480119
28135,93.6048965808358
28137,91.70785282811642
28139,
28143,91.79751839244535
28145,
28149,
28151,
28161,
28163,
